Account Initialization:
Datetime,Account,Action,Amount,Balance
2024-02-05 12:00:00,1,init,0.00,1000.00
2024-02-05 12:00:00,2,init,0.00,1500.00
2024-02-05 12:00:00,3,init,0.00,2000.00
2025-04-13 17:26:22,1,balance,0.00,1000.00
2025-04-13 17:26:29,1,deposit,100.00,1100.00
2025-04-13 17:26:34,1,withdraw,99.99,1000.01
2025-04-13 17:26:54,1,balance,0.00,1000.01,0.00,0.00
2025-04-13 17:43:15,1,balance,0.00,1000.01
2025-04-13 17:43:30,1,balance,0.00,1000.01,0.00,0.00
2025-04-13 17:43:34,1,loan,100.00,1100.01,100.00,8.33
2025-04-13 17:43:37,1,balance,0.00,1100.01,100.00,8.33
2025-04-13 17:43:48,1,repay,100.00,1000.01,0.00,0.00
2025-04-13 17:43:52,1,balance,0.00,1000.01,0.00,0.00
2025-04-13 17:44:05,1,loan,1000.00,2000.01,1000.00,83.33
2025-04-13 17:44:08,1,repay,1.00,1999.01,999.00,83.25
2025-04-13 17:44:21,1,deposit,1000.00,2999.01,999.00,83.25
2025-04-13 19:06:56,1,balance,0.00,2999.01,999.00,83.25
2025-04-14 14:24:12,1,balance,0.00,2999.01,999.00,83.25
2025-04-14 14:24:24,1,loan,100.00,3099.01,1099.00,91.58
2025-04-14 14:24:39,1,repay,1000.00,2099.01,99.00,8.25
2025-04-16 13:51:04,1,balance,0.00,2099.01,99.00,8.25
